Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
Division,Rectangle,1728,3.19,47.97,0.38,32.71,3.61,47.97,2.88,34.21,3.89,38.96
Prims,Rectangle,2128,5.49,73.11,0.5,42.84,6.25,73.11,4.27,46.34,6.18,67.73
HuntAndKill,Rectangle,5016,5.99,82.55,0.62,52.35,6.9,82.74,8.08,89.37,6.28,68.73
GrowingTree,Rectangle,3200,7.02,98.37,0.28,25.45,8.11,98.37,3.1,34.08,8.19,92.5
Sidewinder,Rectangle,3672,3.83,56.97,0.46,40.96,5.26,56.97,3.95,41.71,5.53,53.1
Prims,Rectangle,3240,2.94,43.84,0.23,19.82,3.37,43.84,1.84,22.45,3.06,36.46
BacktrackingGenerator,Rectangle,1768,5.1,70.11,0.64,50.09,6.79,70.11,6.66,62.16,6.49,69.36
BinaryTree,Rectangle,3520,6.6,93.62,0.56,50.97,7.52,93.62,6.5,78.36,7.92,89.74
CellularAutomaton,Rectangle,1728,6.29,86.74,0.75,58.35,7.53,86.74,7.1,79.67,8.26,84.24
CellularAutomaton,Rectangle,560,4.51,64.98,0.6,50.59,5.48,64.98,5.08,56.35,5.84,64.1
BacktrackingGenerator,Rectangle,1100,3.79,56.85,0.29,25.2,4.53,56.85,2.36,26.77,5,47.34
Prims,Rectangle,1672,5.01,68.48,0.3,26.2,5.53,68.48,2.28,26.58,5.53,57.6
Ellers,Rectangle,4760,5.63,77.86,0.81,76.11,6.83,77.86,6.6,77.36,6.63,68.11
AldousBroder,Rectangle,2592,6.07,87.99,0.69,61.85,7.19,87.99,5.81,64.92,8.1,87.12
Division,Rectangle,1848,4.09,59.35,0.56,49.34,4.98,59.6,5.21,56.85,4.98,52.1
HuntAndKill,Rectangle,1080,3.11,45.97,0.31,28.83,3.35,45.97,2.53,30.33,4.02,43.46
BacktrackingGenerator,Rectangle,1216,6.13,85.74,0.69,64.98,7,85.74,6.03,66.17,7.64,79.74
BinaryTree,Rectangle,4160,5.99,82.86,0.6,53.35,6.7,82.86,3.45,39.59,6.5,73.23
GrowingTree,Rectangle,896,4.69,65.48,0.46,40.84,6.06,65.48,5.95,63.85,6.41,64.85
BinaryTree,Rectangle,3496,6.3,85.74,0.51,47.59,7.09,85.74,4.4,49.34,7.55,84.12
Ellers,Rectangle,4836,3.84,56.6,0.56,50.59,4.6,56.6,5.48,54.1,5.4,56.47
CellularAutomaton,Rectangle,1216,5.34,78.49,0.38,35.08,6.47,78.49,3.08,37.71,6.87,77.11
Kruskal,Square,5184,5.71,82.61,0.77,72.48,6.71,82.74,5.59,57.54,6.61,70.11
Ellers,Rectangle,1092,4.28,60.6,0.26,23.2,5.04,60.6,2.13,25.45,5.47,59.35
HuntAndKill,Rectangle,624,7.15,95.12,0.29,24.95,8.63,95.12,5.95,62.91,7.76,83.74
AldousBroder,Rectangle,720,6.38,86.87,0.67,63.6,7.64,86.87,4.44,50.91,7.16,78.74
HuntAndKill,Rectangle,1040,4.59,59.97,0.24,21.08,5.26,59.97,1.62,19.26,5.09,42.59
AldousBroder,Rectangle,1364,7.39,99.62,0.65,59.35,8.23,99.62,5.19,60.6,8.54,97.75
Sidewinder,Rectangle,1152,3.51,51.84,0.4,29.71,3.9,51.84,2.93,31.02,4.45,47.09
CellularAutomaton,Rectangle,2200,5.99,75.23,0.63,54.97,6.06,75.23,6.3,73.36,6.61,73.61
Kruskal,Rectangle,1020,5.7,79.86,0.81,77.11,6.73,79.86,6.9,77.24,7.64,79.36
Ellers,Rectangle,920,4.87,65.73,0.57,50.22,5.49,65.73,4.66,51.84,5.81,63.73
Division,Rectangle,2160,5.7,82.86,0.48,43.59,7.45,82.86,4.53,48.09,6.45,69.23
BinaryTree,Rectangle,960,6.26,86.12,0.39,35.33,6.94,86.12,4.26,43.9,7.6,68.73
HuntAndKill,Rectangle,2520,6.73,91.74,0.76,71.48,8.71,91.74,6.9,75.17,7.18,73.86
Division,Square,4096,6.83,99.62,0.65,60.48,7.87,99.62,6.5,71.42,9.25,99.37
BacktrackingGenerator,Rectangle,1920,5.56,75.61,0.41,37.21,7.11,75.61,5.46,56.54,6.54,65.6
GrowingTree,Rectangle,2880,5.45,76.11,0.38,33.58,6.16,76.11,3.42,37.34,6.01,62.1
Ellers,Rectangle,1728,4.69,65.35,0.55,45.22,5.34,65.35,4.89,59.41,5.72,63.1
GrowingTree,Rectangle,2160,5.15,73.67,0.77,64.6,7.07,73.98,6.26,66.42,6.59,69.36
BacktrackingGenerator,Rectangle,1120,5.67,80.49,0.74,69.23,6.56,80.49,6.65,78.24,6.91,79.86
HuntAndKill,Rectangle,1800,5.06,74.61,0.31,26.08,6.1,74.61,3.28,30.27,7.16,67.98
GrowingTree,Rectangle,3480,7.45,99,1.01,91.99,8.45,99,8.52,98.75,9.39,98.75
BacktrackingGenerator,Rectangle,2904,4.89,67.98,0.5,43.84,6.14,67.98,4.66,48.78,5.91,58.85
Ellers,Rectangle,1728,6.7,86.87,0.65,60.23,6.91,86.87,5.22,62.1,7.58,85.49
Prims,Rectangle,4256,3.29,48.34,0.41,37.21,4.15,48.34,3.22,34.65,4.52,46.84
BinaryTree,Rectangle,2304,4.18,56.47,0.38,33.08,4.68,56.47,2.72,33.46,3.84,45.59
AldousBroder,Rectangle,800,5.7,79.61,0.68,64.23,6.57,79.61,6.3,73.36,7.29,77.99
CellularAutomaton,Rectangle,1620,4.56,61.73,0.39,34.08,5.02,61.73,3.71,41.59,5.6,59.85
TrivialMaze,Rectangle,840,5,71.48,0.52,45.84,5.6,71.48,7.29,69.23,6.32,70.23
HuntAndKill,Rectangle,2400,6.37,75.36,0.59,52.47,7.06,75.36,5.29,56.22,6.73,71.48
Sidewinder,Rectangle,1216,7.25,96,1.09,90.24,9.68,96,8.37,90.62,9.13,95.87
Division,Rectangle,1196,7.28,99.12,0.48,43.34,8.4,99.12,4.4,47.03,8.61,92.87
BacktrackingGenerator,Rectangle,4588,6.64,95.12,0.74,64.85,7.78,95.12,5.57,66.17,7.51,81.99
HuntAndKill,Rectangle,1040,5.52,81.11,0.78,72.11,6.39,81.11,6.81,77.24,6.83,79.24
HuntAndKill,Rectangle,3264,6.48,90.74,0.84,80.24,7.64,90.74,7.76,86.49,8.05,90.37
BacktrackingGenerator,Rectangle,4056,6.12,88.99,0.98,85.49,7.27,88.99,7.45,88.49,7.85,88.87
Division,Rectangle,528,3.58,53.22,0.18,14.95,4.34,53.22,2.25,26.95,4.37,42.71
Wilsons,Rectangle,3000,3.88,54.6,0.87,80.49,4.38,54.85,7.21,80.61,3.9,42.09
BinaryTree,Rectangle,4092,5.38,73.73,0.69,63.48,6.51,73.73,5.83,65.42,6.11,68.36
TrivialMaze,Rectangle,1612,4.65,68.73,0.51,42.59,5.55,68.73,4.05,44.84,6.24,66.73
Sidewinder,Rectangle,1848,5.67,80.99,0.36,33.08,7.2,80.99,7.68,80.24,6.63,69.36
Ellers,Rectangle,1440,3.93,54.35,0.53,45.97,4.32,54.35,3.86,41.78,4.88,52.72
Prims,Rectangle,2800,6.54,93.62,0.61,54.97,7.8,93.62,5.19,61.98,8.33,87.12
Division,Rectangle,4320,5.44,74.55,0.99,92.37,5.93,74.73,8.11,92.12,6.35,70.73
HuntAndKill,Rectangle,1540,6.94,93.87,0.9,80.49,8.66,93.87,8.71,92.37,8.53,93.5
Ellers,Rectangle,2784,6.29,88.37,0.29,26.08,7.53,88.37,2.62,30.77,7.44,84.24
BinaryTree,Rectangle,1536,6.66,94.87,0.66,61.1,8.44,94.87,6.04,63.23,8.71,88.62
Kruskal,Rectangle,3596,3.89,53.53,0.83,77.74,4,53.6,7.01,77.99,4.16,45.84
Sidewinder,Rectangle,4864,2.96,44.9,0.52,45.34,4.17,44.97,4.46,44.72,4.16,40.46
Prims,Rectangle,5772,5.93,77.49,0.4,36.71,6.17,77.49,7.5,84.8,6.19,67.48
CellularAutomaton,Rectangle,5148,5.21,69.48,0.42,38.71,5.96,69.48,4.46,44.78,6.18,67.6
CellularAutomaton,Rectangle,1560,4.19,59.35,0.42,36.34,5.26,59.35,3.06,36.84,4.08,45.97
GrowingTree,Rectangle,1160,6.84,97.75,0.57,52.97,8.13,97.75,6.02,60.29,8.59,96.62
Ellers,Rectangle,1560,4.42,61.85,0.58,50.47,4.99,61.85,5.31,61.73,5.76,61.23
GrowingTree,Rectangle,3168,6.37,87.62,0.44,37.46,8.16,87.62,3.66,37.9,7.78,83.86
Wilsons,Rectangle,1176,6.88,96.12,0.67,61.35,9.28,96.12,6.23,68.42,8.61,93.62
AldousBroder,Rectangle,2772,4.75,64.48,0.25,22.33,5.17,64.48,1.91,23.08,5.25,56.22
Ellers,Rectangle,1120,7.06,77.86,0.8,59.47,9.91,77.86,8.01,77.61,10.66,77.74
GrowingTree,Rectangle,1440,4.1,54.47,0.25,21.83,4.35,54.47,1.86,22.45,4.37,47.84
Prims,Rectangle,1584,7.47,98.75,0.89,78.61,7.91,98.75,7.63,87.43,8.32,93.37
HuntAndKill,Square,5776,7.25,96.62,0.37,33.58,8.3,96.62,3.27,38.71,8.19,90.12
AldousBroder,Rectangle,1280,6.21,85.62,0.28,24.45,7.47,85.62,2.39,28.02,7.68,80.49
Division,Rectangle,1872,7.09,97.81,0.98,90.37,8.47,97.87,8.42,99.5,8.32,92.5
TrivialMaze,Rectangle,2560,7.09,97.5,0.76,70.86,8.18,97.5,6.42,73.86,8.62,97.5
BinaryTree,Rectangle,4440,5.31,73.73,0.49,42.21,5.7,73.73,2.69,32.33,6.51,67.98
BacktrackingGenerator,Rectangle,2736,6.58,93.87,0.68,62.48,7.97,93.87,5.63,66.04,8.17,87.87
Kruskal,Rectangle,3480,5.89,80.74,0.7,65.98,7.11,80.74,3.06,37.27,6.95,74.73
BacktrackingGenerator,Rectangle,2560,3.87,57.1,0.66,59.22,4.47,57.22,6.71,76.24,4.83,51.22
Sidewinder,Rectangle,1960,6.24,89.99,0.68,61.48,7.67,89.99,6.6,78.17,7.66,83.99
Prims,Rectangle,4032,5.55,79.74,0.43,40.34,6.48,79.74,5.34,60.48,7.76,78.24
Sidewinder,Rectangle,912,4.24,61.23,0.33,29.46,5.7,61.23,2.55,30.27,5.77,60.35
Wilsons,Rectangle,1200,6.36,87.87,0.48,42.59,7.27,87.87,4.43,45.84,8.02,85.87
BacktrackingGenerator,Rectangle,2992,5.08,63.48,0.35,30.71,5.19,63.48,3.7,44.84,5.12,58.72
Prims,Rectangle,1092,6.68,92.62,0.42,38.71,7.61,92.62,5.07,54.28,10.23,90.74
Wilsons,Rectangle,3944,6.32,86.12,1.02,65.35,7.5,86.12,7.16,80.24,8.9,84.74
AldousBroder,Rectangle,2960,5.51,74.3,0.7,62.48,5.99,74.36,2.16,25.89,6.19,67.98
Prims,Rectangle,3192,5.21,70.73,0.63,51.09,6.88,70.73,4.78,51.84,7.61,66.35
GrowingTree,Rectangle,1904,4.93,66.73,0.65,55.1,5.38,66.73,5.04,58.47,5.53,60.48
BacktrackingGenerator,Rectangle,1320,3.7,51.72,0.5,45.09,4.57,51.72,5.44,50.72,5.31,51.22
Sidewinder,Rectangle,2484,6.44,91.37,0.36,33.21,7.42,91.37,4.79,51.91,6.82,75.98
Wilsons,Square,5776,7.07,79.99,0.68,53.97,10.27,79.99,3.79,37.77,8.51,79.11
BinaryTree,Rectangle,2496,5.71,81.36,0.34,31.08,6.69,81.36,2.62,31.96,6.9,76.99
Prims,Rectangle,2720,4.87,68.48,0.29,19.82,5.71,68.48,1.73,20.39,6.35,64.48
Prims,Rectangle,2688,2.16,31.96,0.24,20.33,2.39,31.96,1.72,20.51,2.29,26.58
CellularAutomaton,Rectangle,2208,6.71,91.87,0.88,84.37,8.1,91.87,7.99,87.49,8.2,89.99
Prims,Rectangle,3240,5.78,82.11,0.47,39.71,7.06,82.11,4.26,46.4,6.82,75.11
GrowingTree,Rectangle,1428,5.14,70.23,0.54,48.47,5.67,70.23,4.88,50.47,6.9,68.98
Division,Rectangle,3100,5.61,83.11,0.59,50.72,6.76,83.11,5.83,64.48,6.62,73.23
Kruskal,Rectangle,5120,6.78,94.62,0.36,33.46,8.58,94.62,4.34,44.47,8.26,82.86
AldousBroder,Rectangle,2760,6.51,88.99,0.87,83.49,7.23,88.99,7.78,86.99,7.99,87.74
Division,Rectangle,1280,6.36,91.62,0.9,86.24,7.83,91.62,7.98,91.37,8.49,91.49
Kruskal,Rectangle,2784,8.97,76.49,0.6,46.59,6.76,76.49,5.27,57.1,6.05,67.98
Wilsons,Rectangle,2700,4.51,63.16,0.87,78.36,5.45,63.23,1.28,14.88,5.76,49.09
GrowingTree,Rectangle,2976,6.19,86.74,0.28,22.7,7.42,86.74,2.31,26.64,7.89,80.86
TrivialMaze,Rectangle,1232,3.06,46.22,0.42,36.59,4.06,46.22,3.67,38.4,4.21,45.59
Sidewinder,Rectangle,1144,6.65,94.37,0.82,77.99,7.45,94.37,7.78,94.37,8.92,94.37
Division,Rectangle,1080,5.36,74.48,0.24,20.45,6.95,74.48,1.85,21.64,6.93,69.23
AldousBroder,Rectangle,1380,3.84,49.72,0.15,12.82,3.82,49.72,1.12,12.88,3.84,41.09
Sidewinder,Rectangle,1748,4.14,56.1,0.37,30.71,5.48,56.1,2.76,31.21,5.41,53.35
BacktrackingGenerator,Rectangle,2652,4.9,62.85,0.25,21.58,5.2,62.85,2.96,36.59,5.2,55.6
BacktrackingGenerator,Rectangle,4056,6.17,83.61,0.4,34.58,6.79,83.61,3.73,37.15,6.61,72.98
Prims,Rectangle,1248,4.58,63.85,0.38,34.33,5.33,63.85,3.13,36.96,6.05,63.48
BacktrackingGenerator,Rectangle,2088,2.84,43.09,0.28,22.7,3.78,43.09,6.01,65.98,3.25,37.84
Ellers,Rectangle,2160,4.55,61.1,0.51,43.34,4.99,61.1,4.82,52.6,5.45,57.6
Division,Rectangle,1040,6.38,91.49,0.73,67.73,7.92,91.49,8.42,84.12,7.91,87.99
AldousBroder,Rectangle,2808,5.26,70.98,0.73,66.48,6.14,70.98,6.29,68.48,6.34,70.23
TrivialMaze,Rectangle,1728,5.01,70.23,0.4,34.21,5.94,70.23,6.51,67.67,6.45,69.23
CellularAutomaton,Rectangle,5460,6.41,84.74,0.88,79.74,7.25,84.74,7.74,84.37,7.77,84.62
Division,Rectangle,3496,5.34,73.11,0.4,36.09,7.34,73.11,3.86,38.15,7.51,66.6
BinaryTree,Rectangle,760,7.22,97.75,0.39,36.09,8.1,97.75,3.32,40.03,8.81,97.12
BinaryTree,Rectangle,1008,5.74,75.36,0.79,68.86,6.59,75.36,6.21,72.23,6.67,73.36
BacktrackingGenerator,Square,4096,6.83,92.25,0.64,59.1,7.07,92.25,5.81,61.54,7.52,87.12
HuntAndKill,Rectangle,3552,6.75,90.74,0.69,60.1,8.02,90.74,5.68,56.41,7.98,85.87
TrivialMaze,Rectangle,2016,4.59,56.85,0.53,43.46,4.65,56.97,3.66,44.4,3.99,46.97
Division,Rectangle,3192,5.64,80.74,0.35,30.83,7.09,80.74,3.13,34.02,7.61,77.61
Sidewinder,Rectangle,2784,5.37,74.73,0.42,38.09,6.02,74.73,3.21,39.09,7.01,73.98
CellularAutomaton,Rectangle,2052,4.66,64.17,0.62,53.35,4.97,64.23,5.31,54.41,5.84,61.85
BinaryTree,Rectangle,660,3.78,51.84,0.28,24.7,3.98,51.84,1.95,23.76,4.24,45.34
TrivialMaze,Rectangle,3456,5.9,81.86,0.46,41.46,7.06,81.99,5.09,51.28,7.58,74.11
Division,Rectangle,1944,5.7,78.86,0.45,41.34,6.49,78.86,5.07,55.22,7.33,74.86
Ellers,Rectangle,3240,6.12,86.62,0.5,45.22,8.04,86.62,5.21,53.1,7.62,81.99
Kruskal,Rectangle,4224,5.2,74.73,0.75,60.1,6.02,74.73,5.8,68.67,6.23,70.61
Division,Rectangle,2300,3.96,58.1,0.52,48.22,4.57,58.1,4.69,49.91,5.36,54.22
Kruskal,Square,2304,6.49,93.87,0.37,33.08,7.68,93.87,2.97,35.71,8.34,90.49
AldousBroder,Rectangle,2604,4.92,68.36,0.5,45.97,6.19,68.36,4.64,43.46,6.6,68.11
BinaryTree,Rectangle,1904,5.36,72.3,0.71,63.48,5.78,72.36,3.99,41.46,6.18,68.36
HuntAndKill,Rectangle,1632,3.81,58.47,0.29,24.95,4.97,58.47,2.86,28.39,5.49,56.1
TrivialMaze,Rectangle,4864,5.12,73.98,0.82,67.23,6.24,73.98,6.37,72.73,6.8,72.86
BacktrackingGenerator,Rectangle,720,5.34,78.99,0.8,73.61,6.48,78.99,7.16,75.11,7.17,78.86
HuntAndKill,Rectangle,2352,6.9,90.12,0.4,36.09,6.95,90.12,3.76,44.65,6.79,77.11
Prims,Rectangle,1496,6.3,88.62,0.55,48.34,7.41,88.62,5.98,61.35,7.58,81.61
BinaryTree,Rectangle,3220,5.56,74.48,0.36,32.46,6.29,74.48,3.75,39.15,6.32,65.48
AldousBroder,Rectangle,2320,4.49,60.1,0.69,56.35,6.05,60.35,5.29,56.35,6.34,44.22
HuntAndKill,Rectangle,1872,5.66,81.61,0.57,49.72,6.79,81.61,3.87,40.4,7.32,78.74
CellularAutomaton,Square,1764,4.78,62.23,0.59,53.22,5.21,62.35,5.55,54.6,4.53,46.97
TrivialMaze,Rectangle,2240,7.07,98.12,1.05,90.12,8.51,98.12,8.16,91.87,8.67,96.75
BacktrackingGenerator,Rectangle,2080,6.42,88.12,0.82,77.36,7.35,88.12,7.41,85.99,8.6,87.62
Wilsons,Rectangle,3256,5.42,76.74,0.41,37.71,6.09,76.74,3.5,41.34,6.77,70.61
Kruskal,Rectangle,2688,6.37,92.37,0.5,44.09,8.41,92.37,4.61,49.78,8.91,85.74
GrowingTree,Rectangle,2052,4.56,59.79,0.56,48.97,4.92,59.97,6.24,72.61,3.62,42.21
Division,Rectangle,3800,5.77,76.92,0.7,64.48,7.44,76.99,5.69,63.79,6.68,71.11
Kruskal,Rectangle,3344,5.95,82.36,0.73,64.73,7.31,82.36,5.89,66.6,7.01,80.24
AldousBroder,Square,3600,6.04,81.74,0.72,65.1,6.64,81.74,4.28,44.65,7.48,80.99
Prims,Rectangle,4216,3.25,44.59,0.36,30.58,3.84,44.59,2.56,30.64,3.4,39.96
Prims,Rectangle,1768,7.2,99.37,0.41,37.09,8.88,99.37,4.8,45.65,9.35,97
Division,Rectangle,1288,4.9,69.36,0.3,25.45,5.95,69.36,2.23,26.33,4.83,52.85
TrivialMaze,Rectangle,1848,5.37,75.86,0.71,60.35,6.19,75.86,3.1,36.21,6.85,71.61
Kruskal,Rectangle,5772,4.24,45.84,0.24,18.82,3.78,45.84,1.81,21.39,3.59,42.84
BinaryTree,Rectangle,3120,5.03,67.23,0.52,45.72,5.74,67.23,4.19,45.97,6.74,61.73
HuntAndKill,Rectangle,3552,5.29,70.36,0.35,30.83,5.72,70.36,2.7,31.14,5.39,60.48
Prims,Rectangle,3344,6.38,84.87,0.72,61.23,7.54,84.87,7.16,80.74,7.94,82.49
TrivialMaze,Rectangle,3920,5.12,64.98,0.52,45.97,4.98,64.98,4.66,46.59,6.17,60.73
GrowingTree,Rectangle,2304,7.09,98.62,0.82,76.99,8.03,98.62,8.59,98.62,9.46,98.62
Ellers,Rectangle,3700,5.67,83.86,0.84,76.11,6.97,83.86,7.96,77.74,7.5,82.74
Ellers,Rectangle,1288,4.37,60.98,0.72,59.47,4.75,60.98,5.09,57.04,6.29,60.98
BinaryTree,Rectangle,1120,5.93,78.36,0.62,53.72,7.07,78.36,5.83,57.41,7.35,77.24
HuntAndKill,Rectangle,3888,5.68,76.99,0.64,58.97,6.69,76.99,6.13,62.6,7.77,75.86
Ellers,Rectangle,2356,4.53,63.48,0.42,36.21,5.08,63.48,1.7,20.26,5.07,55.72
BinaryTree,Rectangle,2288,7.13,89.12,0.84,66.98,10.27,89.12,7.11,67.1,10.22,86.12
AldousBroder,Rectangle,3600,5.24,73.73,0.72,65.1,5.9,73.73,4.31,47.09,5.99,63.85
TrivialMaze,Rectangle,2432,5.85,84.55,0.8,74.11,7.59,84.62,7.35,83.55,7.4,78.11
CellularAutomaton,Rectangle,3024,6.33,84.49,0.85,78.61,6.69,84.49,7.7,81.3,7.25,80.11
BinaryTree,Rectangle,2652,3.07,47.22,0.17,14.32,3.83,47.22,1.74,14.51,3.17,33.83
AldousBroder,Rectangle,3400,7.32,98.12,0.76,67.6,7.87,98.12,6.43,71.36,9.61,97.37
Wilsons,Rectangle,2912,4.75,68.11,0.69,62.85,5.53,68.11,5.96,66.1,6.49,66.98
Wilsons,Rectangle,1560,6.56,87.37,0.26,23.7,7.6,87.37,2.1,24.2,6.37,64.35
Sidewinder,Rectangle,2508,6.28,83.24,0.53,48.22,7.8,83.24,6.15,50.91,7.45,79.36
BacktrackingGenerator,Rectangle,960,5.36,73.11,0.28,24.45,5.96,73.11,4.18,47.9,6.57,64.73
Sidewinder,Rectangle,3168,4.69,64.48,0.48,41.71,5.19,64.48,4.17,43.78,5.62,58.35
Prims,Rectangle,1496,2.14,31.71,0.21,17.32,2.42,31.71,1.5,17.32,2.61,29.71
HuntAndKill,Rectangle,5928,4.32,59.85,0.23,19.82,5.23,59.85,1.73,19.82,5.59,54.6
Ellers,Rectangle,2160,4.09,54.35,0.37,33.71,4.65,54.35,3.19,37.02,4.39,48.97
Prims,Rectangle,4560,2.94,43.84,0.68,64.35,3.4,43.96,6.55,64.73,2.8,30.46
Ellers,Rectangle,1584,4.44,62.48,0.23,20.2,4.92,62.48,1.89,19.14,4.94,54.72
AldousBroder,Rectangle,2016,6.5,89.99,0.36,33.46,8.18,89.99,3.1,35.83,7.49,78.49
HuntAndKill,Rectangle,1800,6.11,84.12,0.48,41.21,6.71,84.12,4.2,45.59,7.27,77.24
BinaryTree,Rectangle,3848,5.43,70.86,0.71,67.98,6.07,70.86,6.27,70.61,6.67,70.73
Ellers,Rectangle,3200,4.7,65.23,0.34,30.08,5.47,65.23,2.87,34.08,5.69,59.22
TrivialMaze,Rectangle,920,5.39,77.55,0.85,78.36,6.98,77.61,7.5,79.24,7.03,72.48
HuntAndKill,Rectangle,1064,6.57,85.49,0.66,63.6,7.19,85.49,6.48,77.11,7.55,81.36
HuntAndKill,Rectangle,1296,3.05,45.84,0.35,30.21,3.95,45.84,2.69,31.46,3.96,41.46
BacktrackingGenerator,Rectangle,2900,5.88,77.36,0.65,59.1,6.08,77.36,5.69,61.6,6.56,75.23
GrowingTree,Rectangle,1560,4.96,65.35,0.31,27.58,5.52,65.35,2.54,28.77,5.76,61.98
AldousBroder,Rectangle,1216,5.31,73.98,0.46,41.71,6.19,73.98,6.84,79.86,5.22,59.22
GrowingTree,Rectangle,3432,4.1,54.85,0.4,36.59,4.46,54.85,3.15,37.65,5.3,53.35
TrivialMaze,Rectangle,2816,3.64,55.1,0.42,38.71,4.66,55.1,3.57,38.96,4.28,46.22
AldousBroder,Rectangle,1776,3.56,53.97,0.27,21.7,4.64,53.97,1.93,22.26,4.28,42.96
Prims,Rectangle,1200,5.63,71.98,0.68,61.73,5.72,71.98,5.68,64.79,6.24,68.86
Kruskal,Rectangle,3348,6.43,93.75,0.58,51.84,7.73,93.75,5.9,62.85,8.47,90.24
Sidewinder,Rectangle,1000,3.74,57.22,0.35,30.58,5.16,57.22,7.52,85.74,4.46,48.84
CellularAutomaton,Rectangle,3328,3.92,57.47,0.45,39.09,4.99,57.47,5.21,52.47,5.62,57.35
BacktrackingGenerator,Rectangle,4216,3.2,48.22,0.29,26.2,3.95,48.22,2.22,26.95,3.91,40.46
BinaryTree,Rectangle,1960,5.76,82.55,0.72,64.6,7.51,82.61,5.49,64.73,6.25,69.11
Ellers,Square,3364,7.18,95,1.05,86.62,7.46,95,8.24,93.12,8.61,94.62
Wilsons,Rectangle,5600,6.73,88.49,0.35,29.46,8.36,88.49,4.61,44.34,7.57,82.86
Ellers,Rectangle,3888,6.01,81.99,0.35,32.46,6.65,81.99,2.92,35.77,7.46,81.74
Sidewinder,Rectangle,2220,5.86,79.61,0.5,43.59,7.16,79.61,3.8,44.97,7.96,79.24
Ellers,Rectangle,2320,3.35,45.84,0.27,23.2,3.43,45.84,2.48,30.46,3.48,41.34
GrowingTree,Rectangle,1216,6.17,78.99,0.59,52.85,6.41,78.99,6.54,70.48,7.35,75.73
Division,Rectangle,2368,6.28,91.37,0.89,83.61,7.09,91.49,7.51,84.99,8.63,86.12
BacktrackingGenerator,Rectangle,2016,4.72,57.6,0.51,43.96,4.72,57.6,2.26,25.83,4.66,50.47
CellularAutomaton,Rectangle,4408,7.11,97.37,0.56,46.34,8.01,97.37,4.57,49.97,8.8,95.5
AldousBroder,Rectangle,2584,7.4,99.87,0.81,77.49,8.12,99.87,8.09,79.49,9.93,99.62
BinaryTree,Rectangle,1824,5.37,71.86,0.32,28.33,5.93,71.86,3.95,46.97,6.13,66.6
Division,Rectangle,1972,3.85,50.84,0.44,39.59,4.57,50.84,4.37,44.34,4.8,49.47
Ellers,Rectangle,5772,6.42,87.55,0.98,88.62,7.22,87.62,8.26,93.5,7.28,79.86
Sidewinder,Rectangle,4608,5.22,68.73,0.62,51.34,6.09,68.73,5.34,53.41,6.85,63.73
BacktrackingGenerator,Rectangle,480,5.35,77.36,0.54,44.97,6.14,77.36,6.89,75.36,6.86,75.61
Wilsons,Rectangle,1656,4.99,70.73,0.42,35.08,5.71,70.73,3.32,35.77,5.64,62.1
GrowingTree,Rectangle,1628,5.55,76.17,0.68,58.97,7,76.24,1.77,20.7,6.22,67.48
HuntAndKill,Rectangle,1680,5.94,82.49,0.53,46.97,6.77,82.49,4.58,51.47,7.2,77.11
BinaryTree,Rectangle,1456,7.35,96.62,0.68,60.48,7.62,96.62,8.23,95.12,8.56,95.37
GrowingTree,Rectangle,4032,2.79,41.84,0.16,13.32,3.49,41.84,1.43,14.2,3.78,34.21
TrivialMaze,Rectangle,1232,5.38,76.49,0.6,50.97,6.19,76.49,4.63,52.72,6.26,69.61
Division,Rectangle,4640,6.45,90.37,0.82,72.98,7.33,90.37,7.45,85.62,8.15,87.74
Division,Rectangle,3432,4.74,63.23,0.54,45.72,5.28,63.23,5.19,60.1,5.51,62.35
Wilsons,Rectangle,1232,4.29,58.85,0.55,49.47,4.73,58.85,4.74,49.16,5.6,56.72
GrowingTree,Rectangle,1040,3.62,54.85,0.25,22.08,4.46,54.85,1.93,22.45,4.12,42.96
Sidewinder,Rectangle,3348,5.07,70.98,0.53,44.72,5.84,70.98,4.64,47.59,6.34,67.85
GrowingTree,Rectangle,3040,5.97,77.86,0.63,55.85,7.49,77.86,6.73,76.11,6.94,76.24
Wilsons,Rectangle,3564,5.59,78.86,0.58,53.35,6.57,78.86,4.79,54.35,7.44,77.36
BacktrackingGenerator,Rectangle,1740,5.17,72.86,0.69,63.48,6.26,72.86,6.49,70.04,6.77,71.11
TrivialMaze,Rectangle,2912,4.8,60.48,0.39,30.83,4.67,60.48,2.72,32.71,4.59,50.22
HuntAndKill,Rectangle,2904,4.33,60.35,0.5,40.21,5.76,60.35,4.05,41.15,5.12,49.97
BacktrackingGenerator,Rectangle,2560,7.08,97.62,0.7,67.23,7.76,97.62,6.3,72.3,8.24,94.75
AldousBroder,Rectangle,3120,6,78.61,0.43,39.46,6.32,78.61,4.05,41.28,6.52,67.98
HuntAndKill,Rectangle,5440,4.26,58.6,0.18,12.95,5.16,58.6,1.14,13.38,2.94,33.71
Prims,Rectangle,1776,6.99,81.49,0.62,41.96,7.75,81.49,3.75,43.21,7.06,72.73
