Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
Ellers,Rectangle,5168,4.72,63.35,0.63,56.35,5.21,63.35,5.38,57.79,5.95,63.35
HuntAndKill,Rectangle,3960,5.03,74.36,0.42,36.34,6,74.36,5.21,38.46,6.82,66.85
Ellers,Rectangle,1352,5.51,77.99,0.6,53.97,6.57,77.99,5.03,57.22,6.57,71.98
BacktrackingGenerator,Rectangle,880,6.64,92.25,0.66,62.35,7.37,92.25,6.47,67.29,8.16,89.37
Kruskal,Rectangle,1144,4.24,58.6,0.55,44.59,4.56,58.6,3.89,43.59,5.36,57.22
GrowingTree,Rectangle,1560,6.88,96.12,0.69,60.98,8.51,96.12,5.28,57.66,8.05,85.87
Sidewinder,Rectangle,2772,6.67,94,0.56,52.1,7.85,94,5.07,56.04,7.72,86.62
BacktrackingGenerator,Rectangle,2688,4.46,63.35,0.48,40.46,5.11,63.35,4.66,49.16,5.22,55.72
Prims,Rectangle,1248,5.02,73.48,0.67,57.85,5.74,73.48,5.71,64.73,6.66,72.48
Kruskal,Rectangle,2160,4.32,57.85,0.35,29.46,5.53,57.85,2.6,30.58,3.95,43.84
Division,Square,576,6.2,86.99,0.49,45.34,6.93,86.99,4.39,51.09,7,76.11
Sidewinder,Rectangle,5600,6.95,91.37,0.37,31.46,7.38,91.37,3.3,34.15,8.48,80.74
Kruskal,Rectangle,840,6.2,88.24,0.68,61.48,6.97,88.24,5.56,64.92,7.69,87.12
Ellers,Rectangle,1600,6.52,90.87,0.67,61.6,7.36,90.99,5.66,61.6,6.42,68.36
Ellers,Rectangle,1716,3.29,48.09,0.42,37.09,3.66,48.09,3.73,44.34,3.79,45.09
